,0
para33s33,"The fact that through such first acquaintances nothing more than general knowledge, not yet founded by own insight, would have to arise, would do little to the hoped-for benefit: it is the same case in the external history of literature, where also only enumeration of the writings according to ages and classes with citation of the best foreign judgments and criticisms about the content of the writings is expected."
para33s34,"With the explanation of this introduction, it would be understood anyway that much would be presented to the eyes of the learner either in originals or in impressions and copperplate engravings, accompanied with individual remarks about beauty and age and the stages or counterparts of it, as the opportunity just found."
para33s35,"The other disciplines, each according to its own determination, will then have to take care of the correction and communication of more precise knowledge."
para34s0,"The next, it seems, must be an analogue of what grammar, hermeneutics and criticism did for the written works."
para34s1,"For their understanding and for the formation of a correct judgment about them, the works of art also require a threefold similar theory, which we can call art theory."
para34s2,"It is not intended to repeat anew the material already supplied by the history of the nations, antiquities, and mythology: now it is time to explain in context, theoretically and practically, the principles and technical rules according to which the artists of antiquity worked, and according to which, consequently, we must consider and explain their works, and distinguish in them differences of style and work, earlier and later age, authenticity and falsity."
para34s3,"Here also belong the teachings of symbolism, allegory and all iconology of art, where everywhere many objects present themselves, which demand new philological and philosophical conclusions."
para35s0,"In the two sections of the archaeological teaching circle described so far, it was already necessary from time to time to explain individual things from the history of art."
para35s1,"Now one expects a strictly historical execution of everything that concerns the germination, the blossoming and development of art, according to its different branches, at each of the peoples that once drove or promoted it; from the time of the first preludes up to the period where, after long elementary exercises led by the Asiatics, the beautiful, actually Greek art broke through; then through this age, rich in artistic products, until the loss of Greek political independence; finally still through the late centuries, from which by far the most of the saved monuments are written; everything here sometimes more detailed, sometimes shorter, depending on whether a period has distinguished itself by ingenious imitation or technical diligence."
para35s2,"Here the view is to be directed persistently to the art itself, and to the classical works of every kind, since with such historical developments it is no longer a matter of notes from the stock of the remains, also this stock would not even be accommodated here; yes, we are compelled by the loss of the vast majority of the great works before Alexander's time, to occupy ourselves just as much with what once existed and its newly attempted construction, as with the remains that have come to us by chance."
para35s3,"But in order to put the works in their right places according to critical principles, we need an Ariadnian thread that replaces the lack of time determinations, which the works of art, like the written ones, do not bear on their foreheads."
para35s4,"Such a thread is given, as we hope Göthe's and his art friends' acumen will teach in detail, by the coins passing through the periods of flourishing art in their technique and whole treatment, which helps through well-prepared observation and comparison to a similar apt act, as the observation of the time - and place - peculiarities in the old writings causes."
para35s5,"Although the study of coins has its place elsewhere, this fruit of numismatic knowledge, which grows in all art history, is already indispensable here; as we would assign numismatics the first place without hesitation, if we were talking about the sequence in which every art history is to be carried out."
para36s0,"Before we come to this science , the archaeology of architecture deserves a brief mention."
para36s1,"That also for the insight into the magnificent remains of this genre both a preliminary note of the preserved, as well as a theory of art according to the patterns and rules of the ancients, finally an actual history of architecture is required, is sufficiently evident from the similarity with the above."
para36s2,"Especially, however, whoever wants to get acquainted with this class of works not as an architect , but as a learned antiquarian, should direct his attention to everything that from there can serve to illuminate the rest of art history."
para36s3,His construction is definitely different from the one the future practical construction expert is working towards.
para37s0,"Following the above order, numismatics now takes its place as the first of those doctrines that refer to the third genus of remains, those of mixed type."
para37s1,"Again, a very spacious field, which, however, has been worked on all sides and facilitated for study by the writings of Eckel and other recently deceased scholars, who dedicated their lives to it under advantageous circumstances."
para37s2,"And how considerable is not the library of old books on this subject! By the amount of such writings is now finally exhausted so much on the history of the old states and regents, and at most left for individual brooding acumen a significant gleanings, that we are the more encouraged to the occupation with the coins to direct attention to the purpose previously thought."
para37s3,"In this way we may be able to get rid from archaeological criticism the deceptive opinions and suspicions which so often block the access to the truth, and we will learn, where firm principles and a divination based on principles are not sufficient, rather to assert the genuinely learned confession of ignorance."
para37s4,"The immodest and profound criticism or modest uncriticism that many antiquarians have made since then might seem unbelievable to actual philologists who learned to proceed with scientific rigor and subtlety in their written works, and would like more than anything to discourage them from the study of antiquities."
para38s0,"The second doctrine of this series goes to the ancient Greek and Latin inscriptions, which also provide so much material for the enlightenment of antiquity that some scholars, especially Italian, have spent lifelong diligence on it."
para38s1,"However, epigraphy (under which name we understand everything that refers to stone and metal writings) becomes important to us not through the forms of beauty, but through the grammatical, lexical, geographical, historical and other contributions that can be obtained from it alone to complete some gaps in our knowledge."
para38s2,"One of the most distinguished sections here is Greek and Roman diplomatics, which brings us back to the threshold of grammar, to the vivid knowledge of the alphabets, as they preceded long before our Greek and Latin manuscripts."
para39s0,"Through this total number of disciplines, the whole field of our science is presented in all its areas in such a way that its content and size is generally apparent, and that it is easy to select and separate from it what is worth teaching and learning for propaedeutic instruction or for the pre-school of literary careers, for what the English call classical education."
para39s1,"Only some of those objects of teaching, connected with the basic knowledge of history, mathematics, physics, description of nature and philosophy, should actually, according to the well-understood language usage even of the ancients, bear the name humanity - studies."
para39s2," When the Romans put studia humanitatis et litterarum together, as they do, they quite actually related the second word to the Greek φιλολογία, which in some sense can be associated with almost any science."
para39s3,"The medical, mathematical and similar sciences, even philosophy, can be practiced and cultivated sine litteris, as can still be seen today in famous examples, as Epicurus did."
para39s4,"However, the name studiosi litterarum does not belong to them according to old good usage."
para39s5,"Humanitatis studia, on the other hand, encompass everything that promotes purely human education and the elevation of all spiritual and mental powers to a beautiful harmony of the inner and outer man."
para39s6,The closer determination today must of course depend on some differences of the conditions in which we stand against Greeks and Romans in the periods of their best culture.
para39s7,"The English saw and followed this most correctly, as can be seen from Knox's book on liberal education, Sheridan's on education and from several similar writings."
para39s8,"This nation was least of all persuaded to disregard the old literature and languages by educational artists and innovators who, even from America, wanted to light a more benevolent light of culture in the mother country."
para39s9,An essay worth reading in this context is contained in Godwin's Enquirer P.
para39s10,I.
para39s11,"Essay 6 , written around the time when a German pedagogue attacked the study of ancient languages in our country with terrible weapons, in a volume of a general revision of education, which presumably will soon have to be revised again, after one has seen the fruits of so many exaggerations."
para39s12,"   On the other hand, many subjects from the encyclopedia of knowledge designed here, which must not be offered to the mixed bunch at all, are just not more useful for the cultivation of human education than our otherwise so admirable exact sciences."
para39s13,"By the way, there are enough thorns on the paths that lead to the flower fields; patience and persistent diligence may be practiced on these thorns, and the scattered mind of the youth may learn to collect itself, often the only gain of importance that the youth gets from the mathematical beginnings for the rest of his life."
para40s0,"In order to leave nothing essential to foreign hands, we conclude with a historical overview of the fate of our science, since the decline of the last philosophical schools at Athens under the reign of Justinian, through the long Middle Ages, until the end of the eighteenth century, along with the general philological and antiquarian book lore."
para40s1,For individual news of more important writings and occasional bibliographical information could be conveniently provided earlier.
para40s2,"This last section is by its content, which interferes with each of the previous ones, and by the side glances, which it must cast on the course of modern scholarly culture, one of the most attractive and useful, especially if one wants to interweave into it the biographies of the most famous and most effective litterateurs of their ages."
para40s3,"The most noble intentions, however, which are important here, unite to get to know the spirit, the character, the points of view, in and under which one has worked on these studies in recent times according to changing needs and tastes, in order both to examine the coexisting purposes and advantages of the same according to their relative value, and to grasp the equally great and worthy main purpose for all times, which alone, although still little recognized, should make the study of antiquity more general and perpetuate it."
para41s0,Now what is this main purpose of the knowledge presented here in outline?
para41s1,"Let's climb up to the top over some of the hills on which, in different periods, it was believed to have found the richest viewpoints."
para41s2,"For since the many-sided building has, as it were, several parts and stairways, it was enough for most people from time to time to choose a location on this and that, and one thought oneself rewarded enough for such efforts by individual gains; some probably believed to see the most sublime goal already in the middle of the path."
para41s3,"Now, however, after we have set up the objects of the most diverse efforts in their coherence and have seen the unity in the manifold, now it will be easier to take a clear view and to discover the highest purposes and points of view of the whole."
para42s0,"There was a time, from the fourteenth to the sixteenth century, when the works of antiquity were regarded not only as the only patterns in every representation and art, but also as magazines of the richest thoughts and principles, by means of which one could form new circles of knowledge and found the just emerging systems of sciences."
para42s1,"The history and politics of the ancients were studied in order to make use of them in the institutions of the young states and even (diplomats may be astonished) in higher business life; ancient poets, orators, historians were read and commented upon in order to compete with them in poetry, in declamations, in patriotic stories, as the artists in Italy tried to do with the first discovered works of art."
para42s2,"Thus, in the first joy over its reawakening, antiquity was soon grasped as a great whole, rich in ideas and things, every part of it was put to direct use, and efforts were made to derive both material and scientific as well as various formal benefits from it."
para42s3,"It cannot be denied that these were all beautiful and fruitful views for those times; however, few of them can still be ours."
para42s4,"The sciences have since enriched themselves beyond recognition; small textbooks of the moderns contain more well-founded propositions, more established truths, than the greatest works of famous ancients, and in order to collect hidden grains of gold from the latter now and then, the digging seems too precious:Even gold can be bought too expensively, one often heard the forefather of modern German pedagogy say in conversations, when he had to admit that Greek antiquity preserves magnificent treasures of moral wisdom that are still worth searching for."
para42s5,"By the way, our world has taken such a new shape and our knowledge everywhere such a patriotic one that for art productions in an old language there are almost nowhere stages for exhibition and examining judges."
para43s0,The purposes on which one tried to base the study of antiquity knowledge were of lesser content.
para43s1,They were mostly related to subordinate material advantages.
para43s2,"Thus, it was generally recognized that much of that knowledge helps the sciences of our present-day public needs, and accordingly recommendations were made as to their usefulness in the state for the better practice of the so-called main sciences."
para43s3,"In the past, philosophy itself was considered to be honored by casting a favorable glance at it, as if it were a maid of the higher faculties, uncertain whether she was holding the torch or dragging the train."
para43s4,"In this respect, however, our studies could not even be honored in the same way, since the predominant sciences of the time, long since released from the influence of Greece and Rome, could not expect any significant discoveries."
para43s5,"But where one found nothing more to learn from the ancients, one often forgot how many things could be learned from them forever: otherwise one would, in order to say only something of many things, show in detail how the ideal direction, which we assume from the study of the ancients with correct guidance, must fertilize our mind and promote it in most scientific endeavors."
para43s6,We recently read excellent thoughts about this in an introductory essay by Fr. Creuzer to a piece of translation from Plotinus in the I.
para43s7,Th. of the work carried out by him and C.
para43s8,Daub published studies.
para43s9," have investigated not only the results of their investigations but also their scientific methods, even in sciences where we are far above them, for example."
para43s10,B.
para43s11,"The first is the mathematical one, whose learned connoisseurs still do not deny their admiration for the proofs and the whole synthetic process of the Greek inventors."
para43s12,"Besides, the earlier history of sciences has still a special interest, as far as in the scientific principles of newer time here and there darknesses lie, which can be lifted only by the connection and the analogy of older kinds of conceptions."
para43s13,"However, the importance of our studies is most obvious in those parts of knowledge which from the historical side rest entirely on antiquity."
para43s14,"To this class belong especially the Protestant theology supported by liberal scholarship and jurisprudence, which goes back to Justinianic law, consequently to the sources of ancient Roman and even Greek law."
para43s15,"This, however, must still be the basis of every scholarly treatment of civil law, because many concepts in it are only clear from the standpoint in their Roman fatherland, even more so because the old laws or fragments, as much as they have come down to us cut and mutilated, form a scientific foundation on which the moderns have erected their legal buildings according to changed needs and conveniences, form a scientific ground on which the moderns have erected their legal buildings according to changed needs and conveniences, a ground of such a similar analogous spirit of the principles that the fruitfulness of it still guides and enlightens us where no explicit provisions give light ; a case that is not to be expected from systems that have gradually arisen from heterogeneous habits and principles."
para43s16,"In such sciences, therefore, whose first sources flow more or less from antiquity, no thorough insight can be gained without having made oneself familiar with the constitutions, ways of life, languages, and ideas of the ancient world: on the other hand, the greatest disruption of this knowledge would take place if philosophy, which by its very nature often transforms itself, were to take the place of the historical foundations; of which the barbarism of former times has given warning examples in theological and legal literature."
para43s17,"   How theology suffered under unlearned hands is not unknown, and has often been lamented since the first reformers."
para43s18,"Rarely do we hear similar complaints from legal scholars, as in the following passage from Mureti Praef."
para43s19,ad Comment.
para43s20,de orig.
para43s21,"iuris : Hodie non aliter ius civile discere cogimur , quam si, sublatis et exstinctis Omnibus Aristotelis eiusque interpretum scriptis, fragmenta tantum quaedam reperirentur, e variis Alexandri, Themistii, Simplicii, Philoponi et aliorum decerpta commentariis , ex quibus utcumque in communes locos digestis Aristoteleam philosophiam discere iuberemur."
para43s22,Accessit aliud multo perniciosius et exitiosius malum.
para43s23,"Nam, quum superioribus saeculis , densissima quadam caligine animis hominum offusa, omnes propemodum bonae artes oppressae ac sepultae iacerent : exstiterunt in illis tenebris homines audaces ac praefidentes , qui nulla Latini sermonis intelligentia, nulla veteris reipublicae Romanae cognitione , arrepto , ut inter caecos , iuris interpretandi munere , verbosissimis et insulsissimis commentariis illas qualescumque veterum Prudentum reliquias onerarimt , et ita imposuerunt generi humano , ut hoc quoque politissimo et eruditissimo saeculo iudicia tamen plerisque in locis ad eorum somnia dirigentur , et ex eorum indocta doctrina exerceantur."
para43s24,"Quos quod quidam inelegantes quidam et incultos, sed magno tamen ingenio et acri iudicio praeditos vixisse aiunt ; de istoc videbimus."
para43s25,"Nam ne ego quidem eis ingenium adimo; nimis potius ingeniosos fuisse dico: illud quidem certe negari non potest: cuius quis civitatis neque linguam teneat , nec formam , leges, mores, instituta cognoverit , eius ius civile non posse ab eo , quamlibet ingeniosus sit, commode intelligenterque tractari."
para43s26,"Satis igitur magna graiia iis haberi non potest , qui hanc caliginem discutere , et istis impostoribus personam, sub qua tam diu hominibus illuserunt , detrahere conantur , ac perficere, ut, quemadmodum ceterae omnes disciplinae a teterrimo barbarorum dominatu litteratae , splendorem suum his temporibus receperunt, ita disciplina iuris tandem aliquando in pristinam restituatur dignitatem etc."
para43s27,"   In all of this, this whole historical point of view and the material benefit connected with it, as estimable as it may be, is alien to antiquity and its works and quite accidental."
para43s28,"It is also easy to see where such an appreciation of learned means of education would have to lead to, as soon as one or the other of these needy sciences, more than has already happened, would detach itself from the prestige of old writings and their interpretation: the beautiful manual skills would then soon lose even the last distinction that the traditional opinion has lent them."
para44s0,"It would be just as poor to recommend a study of such a wide scope, as has also been done so far, by the one-sided use of linguistics, in so far as old languages are still considered tools of today's scholarship."
para44s1,"In any case, this can only be said of the Latin language, or rather it could be said in previous times, when most of the teaching was still given in Latin and the libraries consisted almost exclusively of Latin writings."
para44s2,"This language would be sufficient for that purpose, and that Latin, which had been written badly enough for several centuries, so that for its knowledge it really did not need a tedious journey over Hellas and Latium."
para44s3,"Few would have to bother about the Greek language, except to learn how to pronounce, write and etymologically understand a few hundred artificial words of their science."
para44s4,"And would this be worth so much expenditure of time and effort, since it cannot be learned even at the top, if it is to be really learned, not assumed on foreign faith?"
para45s0,In peculiar dignity and with the most fruitful tendencies the study of ancient languages shows itself when it is considered independent of any relation and as an end in itself.
para45s1,"This consideration is based on the following main theorems, which are quite considered by a few."
para45s2,"The languages, the first art-creations of the human mind, contain the whole stock of general ideas and of forms of our thinking, which have been won and developed during the progressive culture of the peoples; they therefore supply in their signs a set of individual paintings of national ideas, by which the content of partly sensual, partly especially intellectual ideas and the characteristic in conception of both is represented."
para45s3,"Accordingly, any language reasonably adequate to its purpose must present certain classes of ideas, exquisitely worked, perfected, and designated by appropriate expressions according to the physical and moral individuality of the people who formed it."
para45s4,"In the kind of the designations, however, no smaller treasures lie than in the signs themselves."
para45s5,"For, just as the latter in every language enrich the researcher with new ideas and thereby widen his intellectual circle of vision, so the modes of designation and, as it were, the imprints which every nation has impressed upon its ideas, grant a still less recognized, but equally manifold profit."
para45s6,"Through the knowledge and diligent examination of these imprints in several languages, we first begin to find our way in the intellectual world, and to learn to know and use the riches of it already acquired at home better, since the various modifications of similar main ideas force us to perceive the dissimilarities occurring in them, and to understand such ideas, which were already known to us under other forms of thought, from new sides."
para45s7,"Thus, in the words and expressions compared with each other, we do not obtain paltry treasures of many signs of the same kind, but a truly enriching stock of means for the resolution and composition of our ideas, which cannot be obtained in any other way; and on this again are based exercises of the intellect, which provide a dexterity and skill without which no higher operation of it can proceed.See G."
para45s8,B.
para45s9,"Funk's kleine Schrift: Ueber den Nutzen richtig getriebener Philologie, a treatise by one of Germany's best and most learned schoolmen, which in content and execution outweighs a lengthy book."
para45s10,It is reprinted in the Berlinische Magazin.
para45s11,cl.
para45s12,Sci.
para45s13,u.
para45s14,K.
para45s15,1784.
para45s16,B.
para45s17,II.
para45s18,St. 1.
para45s19," We will come back to this remark later, when we talk about the value of grammatical exercises: for the moment, we were only concerned to indicate one of the most distinguished tendencies of all linguistics in general."
para45s20,"But if hereafter every not poor and crude language rewards its learning by itself, then a rich and educated one must do this to a much higher degree; if every newer derived Meng-language of a great nation, then far more an older and original one, or one that has sprung mostly from its own stock."
para45s21,"Here it does not seem intrusive to draw attention to some characteristics of the two learned languages (linguae utriusque, as the Roman Pride said), by which these languages, especially the Greek, stand out far ahead of their alternate and disciples sisters."
para45s22," One has several declamations de praestantia linguae Graecae , a topic with which the teachers of Greek literature used to often open their lectures."
para45s23,"But who has read, only seen, many such small writings?"
para45s24,One of nobler character and more scientific content is D.
para45s25,Ruhnkenii Orat.
para45s26,"de Graecia , artium ac doctrinarum inventrice , L."
para45s27,B.
para45s28,1757.
para45s29,4.
para45s30,"It deserves, if there were room for it, a detailed explanation of how happily the mother tongue of the Muses has passed through every natural stage of education; how it was educated and nurtured by each of the intellectual powers that developed in the Greeks in the most beautiful succession, worked and chastened for poetry, eloquence, philosophy and many other kinds of scientific presentation, with almost equal youthful tenderness and fullness and strength, reached the highest age in which she was still able to stir up half-barbarians to human sentiments and feelings, and even in the last centuries to breathe something of her spirit over into her degenerate fatherland and into the West of Europe; how she was rich in designations of sensual and especially moral concepts, versatile and significant in types of designation, pictorial in easily comprehensible forms by composition as well as by derivation from her own sources, finally how she created the thought deeply, firmly grasping it, often depicting it vividly, at the same time penetrating into the interior of the feeling and the affect, and still painting with colors, as it were, where the business languages of the late world almost make do with a mathematical plus and minus."
para45s31,"No less important for the historical and philosophical purposes of linguistics is the remark that that language, because it was not until late that it came under the rule of master grammarians, had for a long time to express purely the peculiar way of thinking of a nation and to remain the unclouded mirror of the national spirit; a side in which it is far superior to most of the newer languages, although ours and English may well compare with Greek in this respect."
para46s0,"Furthermore, in the case of each of the ancient languages, not only such advantages as those just mentioned come into consideration, but also, what is usually not considered, precisely their age and our youth."
para46s1,"For to the extent that a people is more distant and more different from us in way of thinking, customs and way of life: and such deviations are already caused by the distance of time: the more views of things unfamiliar to us, the more new ideas and new modifications of them the language of the people must necessarily present."
para46s2,"A proof of this is the ease with which we learn about three present-day languages of our neighbors against one of the old ones, in that a certain, one might say, neo-Europeanism unites them as if into one idiom: the very greater difficulty of an old language, which points to a foreign world of ideas and designations, also promises in general to reward our effort more richly."
para46s3,"But what is said here about the languages of distant times is equally true of the simultaneous ones of the distant regions of the world; so that these, if the choice were not determined once by conventional considerations, would always be the more worth learning among those of today."
para46s4,"Perhaps this series of remarks will seem strange to some readers, who see considerable masses of people here and there sufficing with One Language for every need and feeling well thereby: but it will be remembered that we are not speaking of the use of the most divine of all heavenly gifts for the common necessities of life, but of the most important aid which their possession and handling afford to the development and refinement of our power to think and feel."
para46s5,"Accordingly, a nation is by no means fortunate which can promise and complete all higher education in its national language, and is thus prevented from learning excellent foreign ones: indeed, it has cause to complain of a kind of spiritual conspiracy if we do not reproach our neighbors for their so disadvantageous situation, or even encourage them in it."
para46s6,"For, however conveniently and sufficiently it may use its language for writings of political, economic, medical, military, mathematical, and other useful content, it sees itself deprived of a multitude of advantages in everything that goes beyond the hot-hungry demands of civilization, on which alone the versatility and depth of all culture rests."
para46s7,"So it must at least seem until perhaps in future times a nation will emerge again which will develop the most unconventional qualities in the language of its fatherland and will give the human power of thought to be measured by its own standard, provided that then also such a nation, like the Greek before the time of its tradition, will not want to work in investigations of the earlier destinies and conditions of our species, but only in ingenious productions of native arts."
para46s8,Whether there is any hope for an appearance of this kind can be guessed without artificial divination.
para46s9,  Schelling at the angef.
para46s10,O.
para46s11,S.
para46s12,33.
para46s13,"The newer world is in itself and especially in science a divided world, which lives in the past and in the present at the same time."
para46s14,"In the character of all sciences it is expressed that the later time had to start from the historical knowledge, that it had behind itself a submerged world of the most splendid and greatest phenomena of art and science, with which it was connected not by the bond of an organically continuing education, but only by the outer bond of the historical tradition."
para46s15,"   Meanwhile, the languages of the learned antiquity may occupy us not only because of the works that present themselves through them alone in innate beauty and power to contemplation and enjoyment : Not as fashionable garments and shells of ideas, but as works of art intimately interwoven with the ideas, these languages themselves are a kind of monuments to us, worthy to be studied most carefully and to be observed in their finest parts with anatomical diligence, partly in order to perceive in them the organically progressing education of a happily gifted people, partly in order to thereby increase our own education, and to gradually appropriate from the same to our languages as much as each can bear with gentle discipline and strict kindness."
para46s16,This is the way in which the moderns once began the desecration of the crude and the formation of the languages captured by accidental robbery; this way is to be trodden ever anew in order to perfect them for the objects of all popular and peoples' delightful knowledge in such a way as the measure of their facilities and the widened circles of our conceptions and insight permit.
para46s17,"The most beneficial, as has been tried again recently, will be the eager use of such a spiritual language as Greek for German, which is similar in some points, especially if several writers take care of it, who from exact knowledge of both know how to hit the lines of the right and beautiful in each style at the same time."
para47s0,"A purpose of our studies, related to the above but different, lies in the way of studying both the ancient languages and the other objects indicated above."
para47s1,"Here, first of all, the methodical spirit is to be considered, of which the nobler languages, more or less imbued, made their learning an apt means of mental formation, without any regard to what was learned."
para47s2,"Therefore, our ancestors went so far as to impose the grammar of those languages in a rather daunting form as a useful gymnastics of the mind even on those who sought only general, not literary, enlightenment."
para47s3,"They considered the time that someone, who never wanted to become a linguist, spent on such lessons for a few years, to be unlosable; just as perhaps a careful mother, before all ennobling arts, would expect the art of dancing from a boy, whose seriousness is seen in the fact that he would carry his body through the world in the simplest way, and would not want to appear either as a lover or as a master of the art."
para48s0,The grammar itself can be divided into the exegetical and technical.
para48s1,"The former, which explains the mass of words and phrases with their sounds, forms and meanings, supports especially the above-mentioned purpose of analysis and composition of our ideas."
para48s2,"But in order to achieve this purpose to the most desirable extent, it is necessary to compare the mother tongue with one and another deviating ancient one, just as Greek and Latin are against every modern one."
para48s3,"But after all the preliminary work that has been done since then, it is still left to one's own, long-continued diligence to investigate philosophically and historically, by etymology, analogy and research of usage, how and when the signs of the ideas first appeared, in which boundaries they became fixed or between which they fluctuated, how the transitions from one idea to another arose; how the various meanings of the expressions that grew out of them approached and departed from one another synonymously; how this and that expression became native to one or another genre of speech and its graded tones; how the words that never intended to represent the things themselves changed under the influence of opinions and mores, reshaped themselves, recolored themselves; how some became rarer and more inconspicuous or perished altogether, others of fresh formation took their place."
para48s4,"Only when such individual studies will be completed in large numbers in both languages, will lexicology approach its perfection, as technical or methodological grammar has recently begun to do."
para48s5,"The latter, for all its shortcomings, has been the most useful preliminary study of the actually learned education; but it would, if combined, after the pattern of the Stoics, with an introduction to philosophy, become at the same time one of the most attractive pursuits."
para48s6,"To this, no doubt, some might smile, to whom grammar did not appear in a charming form: but even such smilers must recognize it as useful, and as the best applied logic, which proved beneficial to themselves, since they often affirm to have learned nothing more from the theoretical than how a man thinks, who has the art well in hand, and does not imagine himself to think artlessly."
para48s7,"If, however, the teaching of language did not prove its merit everywhere, as it should, it could only be through the fault of bad methods: but who could burden it with something by which every other means of education, every knowledge or science would have to fail of its purpose?"
para48s8,Radio on a.
para48s9,O.
para48s10,S.
para48s11,115.
para48s12,"The only remark would certainly stand here in its right place, that wrong methods would probably be in general circulation as well, if, all other things being equal, the objects of youthful instruction were changed completely."
para48s13,"In mathematics, e.g."
para48s14,B.
para48s15,is the least likely of all the sciences to give rise to a pointless memoir.
para48s16,"Nevertheless, as soon as it would be necessary to employ a few thousand teachers of this science in every country, and that for the presently usual rewards, it would not be easy to miss, one would also have to accept these teachers, as well as they could be obtained under such circumstances; and then, without a doubt, in many schools theorems and demonstrations would be learned by heart just as thoughtlessly as at present not infrequently incomprehensible rules of grammar and names of incomprehensible ideas."
para48s17,"If this assertion seems too daring for someone, I could add that the casus really existed in terminis."
para48s18,"In such a case, however, mathematics would be even more useless than the presently common study of languages; without, I hope, being suspected of approaching this science too closely, which I consider to be one of the most indispensable pieces of youthful education, and sincerely wish, with Diderot, for the times when every true scholar will be able to explain the properties of curved lines as easily and correctly as the beauties of Homer, Plato, Cicero, etc."
para48s19,to feel.
para48s20,"  Nevertheless, it is demonstrable that even crippled leaders on corrupt ways are not able to completely destroy the inherent advantages of things, and that the evil of corrupt methods carries its cure in itself, so to speak."
para48s21,"For exercises of the thinking faculty in languages, which summarize the highest and deepest things that lie in man, open at least by their nature the field of all abstract investigations, and, treating the signs of our ideas themselves as objects, stimulate us to reflect on the intellectual world."
para48s22,"Nowhere are the invitations to raise ourselves to it so ingratiating; but they show themselves most urgently when the unfamiliar organ of a foreign language is chosen for this purpose: such a language seizes the attention more strongly, and because it is not, like the mother tongue, rooted in the sensation, it forces us to bring the phenomena straight to the decision of reason."
para48s23,"So, it seems, already Roman experts judged after a fragment of Cicero in Suetonius."
para48s24,de.
para48s25,Rhett.
para48s26,c.
para48s27,2.
para48s28,"Equidem memoria teneo, pueris nobis primum Latine docere coepisse L."
para48s29,"Plotium qttendam ; ad quem quam fieret concursus, quod studiosissimus quisque apud eum exerceretur , dolebam, mihi idem non licere: continebar autem doctissimorum hominum auctoritate , qui existimabant Graecis exercitationibus ali melius ingenia posse."
para48s30,The purposeful way to treat the written works of antiquity and to enter into their whole sense and spirit works from other sides as a propaedeutics for a strong education.
para48s31,Then there is no further talk of exercises of individual powers of the soul; an even play of all together begins when the business of explanation and correction is practically attacked; there is almost no scientific and artistic effort of the soul for which there is a lack of material and inducements.
para48s32,"Even the first attempts at explanation are rewarded with many a beautiful gain, and allow the youth to cast independent glances into the higher pursuits of the human mind."
para48s33,"But with further extension of the diligence to writers of all genres and times, the exercises become more fruitful through the greater difficulties that are found to comprehend the often hidden content of a passage and the peculiarities of a personal, local and temporal nature present in every writing, In the time span of many centuries, where always a later writer explains the earlier one, an earlier one the late one, one has to search for expressions, ways of thinking and various historical data, whereby at first seemingly impenetrable obscurities are dispersed."
para48s34,"Another advantage, which is obtained in this and the critical occupation, can also not be appreciated enough, we mean a safe habit to weigh the most delicate moments of truth and probability according to their degrees, whereby objects of distant times do not, as the closer ones, dazzle our eye by proportion of the mind, or, as in the merely ideal speculations, enchant us by other deceptions."
para48s35,"If one finally turns completely to the exercise of philological criticism, the mind gets used to picking out from a multitude of indifferently examined data and testimonies that which leads to the discovery of corruptions of the text and to their improvement; In this way, one learns what alone distinguishes the scholar from the well-read, to save the health of one's judgment from an often confusing tangle of useless material, and while one quickly renews previously received impressions and vividly visualizes greater and lesser peculiarities of one's writer, to decide between the voices waving here and there about the authenticity and correctness of a text."
para48s36,"However, criticism sometimes takes a higher flight when it is stripped of historical testimonies and must judge solely on internal factual grounds and extract what has been lost from the context of what remains."
para48s37,"Now and then a boldness becomes necessary which seems to the uninitiated to be vain temerity; and this boldness appears most fierily precisely where the ground has been examined beforehand with the most prudent coldness, that is, every thought and expression has been considered according to its appropriateness or inappropriateness."
para48s38,"Elsewhere, the critic, as well as the interpreter, becomes similar to the enthusiastic seer when he gets to solve obsolete riddles, which every past century has always swallowed up more and more insolubly."
para48s39,"For not seldom his divination is tempted in regions where no sound of a witness can be expected, to single, like weather-beaten standing monuments of the earliest time, whose origin and older condition can be understood only from general probabilities; approximately like the nature research often works over objects of the sense world, which no look and no seeing glass can reach."
para48s40,"Naturally, the investigations of both kinds go into the small; so much into the small that they seem to many to be empty of content and their objects mere phantoms: only the connoisseurs see what the immeasurably small means in harmony with the great, and how the results of such researches can be made convincing, if not evident."
para48s41,"And who would have a voice here, as in every art and science, except the connoisseurs?"
para49s0,The same can be said of the critical and explanatory works on the works of ancient art.
para49s1,"The same sobriety and dexterity in the conception of foreign ideas is also required and gained by them, if by examination of all moments, which come into consideration in works of art, their age or the class, to which each one may belong, is to be indicated, if from very scattered, even more often from mutilated, data a reassuring probability is to be found, because the degraded condition makes a firm decision impossible; or when that which can betray the obscured meaning of a work must be unceremoniously drawn from the great store of mythical legends and national conceptions, whereby the observer must openly surrender himself to every guiding impression, in order either to pursue the thought of a work of art in a definite way, or at least to suspect the original."
para50s0,"Thus, the skill in interpreting and correcting the remains of antiquity affects our education by satisfying its own purposes."
para50s1,"But (to repeat more forcefully what has been said elsewhere), only such a treatment of the works and monuments allows us to look into antiquity quite comprehensively; only our own occupation with the materials and forms of the same tunes our soul into the spirit of the ancients and prepares it for higher consecration, not an already finished, however faithful, representation of foreign hands."
